CancerType,Year,Age,CaseCount,Population
 All Cancer Sites Combined ,2016, <1 ,1112,3955377
 All Cancer Sites Combined ,2016, 1-4 ,3535,15964200
 All Cancer Sites Combined ,2016, 5-9 ,2726,20429504
 All Cancer Sites Combined ,2016, 10-14 ,3224,20627202
 All Cancer Sites Combined ,2016, 15-19 ,5084,21151384
 All Cancer Sites Combined ,2016, 20-24 ,8051,22384013
 All Cancer Sites Combined ,2016, 25-29 ,13797,22931428
 All Cancer Sites Combined ,2016, 30-34 ,21412,21841499
 All Cancer Sites Combined ,2016, 35-39 ,30418,20819289
 All Cancer Sites Combined ,2016, 40-44 ,44872,19732444
 All Cancer Sites Combined ,2016, 45-49 ,73074,20967634
 All Cancer Sites Combined ,2016, 50-54 ,122556,21851429
 All Cancer Sites Combined ,2016, 55-59 ,182339,21987314
 All Cancer Sites Combined ,2016, 60-64 ,225365,19490888
 All Cancer Sites Combined ,2016, 65-69 ,264524,16829553
 All Cancer Sites Combined ,2016, 70-74 ,223764,11816452
 All Cancer Sites Combined ,2016, 75-79 ,177317,8374755
 All Cancer Sites Combined ,2016, 80-84 ,129034,5869693
 All Cancer Sites Combined ,2016, 85+ ,126512,6381877
